type,ms,pct
Docker,2,99
Docker,4,99
Docker,6,99
Docker,8,99
Docker,10,99
Docker,12,99
Docker,14,99
Docker,16,99
Docker,18,99
Docker,20,100
Enclave,1,99
Enclave,2,99
Enclave,3,99
Enclave,4,99
Enclave,5,99
Enclave,6,99
Enclave,7,99
Enclave,8,99
Enclave,9,99
Enclave,16,100
Nitriding-no-proxy,6,85
Nitriding-no-proxy,12,88
Nitriding-no-proxy,18,97
Nitriding-no-proxy,24,98
Nitriding-no-proxy,30,99
Nitriding-no-proxy,36,99
Nitriding-no-proxy,42,99
Nitriding-no-proxy,48,99
Nitriding-no-proxy,54,99
Nitriding-no-proxy,63,100
Nitriding,7,60
Nitriding,14,80
Nitriding,21,94
Nitriding,28,98
Nitriding,35,99
Nitriding,42,99
Nitriding,49,99
Nitriding,56,99
Nitriding,63,99
Nitriding,78,100
